,humidity,precipMM,tempC,windspeedKmph,HeatIndexC
35575,57,0.0,23,4,25
35576,50,0.0,25,4,27
35577,44,0.0,28,5,29
35578,42,0.0,29,6,30
35579,40,0.0,30,8,31
35580,39,0.0,32,9,33
35581,41,0.0,31,10,32
35582,43,0.0,30,11,30
35583,45,0.0,30,12,31
35584,52,0.0,29,11,30
35585,58,0.0,27,10,28
35586,65,0.0,25,10,26
35587,68,0.0,24,9,26
35588,70,0.0,23,8,25
35589,72,0.0,22,8,24
35590,75,0.0,21,7,24
35591,77,0.0,21,6,21
35592,80,0.0,21,6,21
35593,81,0.0,20,6,20
35594,81,0.0,20,6,20
35595,82,0.0,20,6,20
35596,79,0.0,20,6,20
35597,75,0.0,20,6,20
35598,72,0.0,20,6,20
35599,61,0.0,22,6,24
35600,51,0.0,24,6,26
35601,40,0.0,27,6,28
35602,37,0.0,29,7,29
35603,34,0.0,31,9,30
35604,31,0.0,31,10,31
35605,33,0.0,31,10,31
35606,35,0.0,30,11,30
35607,38,0.0,30,12,30
35608,44,0.0,29,11,29
35609,51,0.0,27,10,27
35610,58,0.0,25,9,26
35611,60,0.0,24,8,25
35612,63,0.0,23,7,25
35613,66,0.0,21,5,24
35614,68,0.0,21,4,21
35615,70,0.0,20,3,20
35616,72,0.0,20,2,20
35617,73,0.0,19,3,19
35618,75,0.0,19,3,19
35619,76,0.0,18,4,18
35620,70,0.0,20,3,20
35621,64,0.0,20,3,20
35622,57,0.0,21,3,24
35623,49,0.0,22,4,25
35624,41,0.0,25,4,26
35625,33,0.0,28,5,28
35626,30,0.0,30,6,29
35627,28,0.0,31,8,30
35628,26,0.0,33,9,32
35629,27,0.0,32,9,31
35630,28,0.0,31,10,30
35631,30,0.0,31,10,30
35632,34,0.0,30,10,29
35633,39,0.0,28,10,27
35634,44,0.0,25,9,26
35635,45,0.0,24,9,25
35636,47,0.0,22,8,24
35637,48,0.0,22,7,24
35638,49,0.0,21,6,24
35639,50,0.0,21,5,24
35640,51,0.0,20,4,20
35641,53,0.0,19,3,19
35642,55,0.0,20,3,20
35643,56,0.0,19,3,19
35644,51,0.0,19,4,19
35645,45,0.0,20,4,20
35646,40,0.0,21,4,24
35647,33,0.0,22,5,24
35648,26,0.0,24,6,25
35649,19,0.0,28,7,27
35650,18,0.0,29,8,28
35651,17,0.0,31,10,29
35652,16,0.0,33,11,30
35653,18,0.0,31,11,29
35654,20,0.0,31,11,29
35655,22,0.0,30,11,28
35656,29,0.0,29,10,27
35657,36,0.0,27,9,26
35658,43,0.0,24,9,25
35659,46,0.0,23,9,24
35660,48,0.0,21,8,21
35661,51,0.0,20,8,20
35662,53,0.0,20,8,20
35663,56,0.0,19,7,19
35664,59,0.0,19,7,19
35665,59,0.0,18,7,18
35666,59,0.0,18,7,18
35667,58,0.0,17,7,17
35668,52,0.0,17,6,17
35669,46,0.0,18,6,18
35670,39,0.0,18,5,18
35671,32,0.0,19,6,19
35672,24,0.0,22,7,24
35673,17,0.0,26,9,25
35674,16,0.0,28,10,26
35675,15,0.0,31,11,28
35676,13,0.0,31,12,29
35677,16,0.0,30,12,28
35678,18,0.0,28,12,26
35679,20,0.0,28,12,26
35680,27,0.0,27,11,25
35681,34,0.0,25,9,24
35682,40,0.0,22,8,24
35683,43,0.0,21,7,24
35684,46,0.0,19,7,19
35685,49,0.0,19,6,19
35686,52,0.0,18,6,18
35687,56,0.0,18,6,18
35688,59,0.0,17,5,17
35689,60,0.0,17,4,17
35690,62,0.0,16,3,16
35691,63,0.0,16,3,16
35692,56,0.0,16,2,16
35693,48,0.0,17,1,17
35694,41,0.0,18,1,18
35695,34,0.0,20,2,20
35696,27,0.0,22,3,24
35697,19,0.0,26,5,25
35698,18,0.0,27,7,26
35699,16,0.0,29,9,27
35700,15,0.0,30,11,28
35701,16,0.0,30,11,28
35702,18,0.0,28,11,26
35703,19,0.0,28,11,26
35704,24,0.0,27,10,25
35705,29,0.0,24,8,24
35706,34,0.0,22,7,23
35707,35,0.0,21,7,21
35708,35,0.0,19,6,19
35709,35,0.0,18,5,18
35710,37,0.0,18,5,18
35711,38,0.0,17,4,17
35712,40,0.0,17,3,17
35713,39,0.0,17,3,17
35714,37,0.0,16,4,16
35715,36,0.0,16,4,16
